DISTRICT,STATES,Months,2021-2022forecast,2021-2022plan,2021-2022Actual,actual -plan,actual-forecast
NALANDA,Bihar,Nov-21,2860,2750,1201,1.289758535,1.381348876
NAWADA,Bihar,Nov-21,1142.01,820,551.35,0.487258547,1.071297724
PALI,Rajasthan,Nov-21,4452.59,4300,3370.45,0.275794033,0.32106692
PATNA,Bihar,Nov-21,12602.6,18840,8384.1,1.247110602,0.503154781
PRATAPGARH,Rajasthan,Nov-21,1951.59,1900,1047.5,0.813842482,0.863093079
PURNEA,Bihar,Nov-21,1566.16,2670,1664.1,0.604470885,0.058854636
RAJSAMAND,Rajasthan,Nov-21,1590.04,1300,1002.05,0.297340452,0.586787086
ROHTAS,Bihar,Nov-21,3362.83,7345,2458,1.98820179,0.368116355
SAHARSA,Bihar,Nov-21,479.32,1695,1180,0.436440678,0.59379661
SAMASTIPUR,Bihar,Nov-21,4831.07,4155,2300.65,0.806011345,1.099871775
SARAN,Bihar,Nov-21,6254.42,6210,5524.9,0.124002244,0.132042209
SAWAIMADHOPUR,Rajasthan,Nov-21,3223.54,3300,1648,1.002427184,0.956031553
SEIKHPURA,Bihar,Nov-21,924.67,950,407.95,1.328716755,1.266625812
SHEOHAR,Bihar,Nov-21,-426.63,1040,581,0.790017212,1.734302926
SIKAR,Rajasthan,Nov-21,4673.39,3600,4196.55,0.142152482,0.11362667
SIROHI,Rajasthan,Nov-21,2083.01,1900,1988.5,0.044505909,0.047528288
SITAMARHI,Bihar,Nov-21,794.37,2915,1012.6,1.878728027,0.215514517
SIWAN,Bihar,Nov-21,3807.66,6295,4626,0.360786857,0.17690013
SRIGANGANAGAR,Rajasthan,Nov-21,3933.15,3600,2925,0.230769231,0.344666667
SUPAUL,Bihar,Nov-21,1791.66,2005,877,1.286202965,1.042941847
TONK,Rajasthan,Nov-21,2296.11,1800,1782,0.01010101,0.288501684
UDAIPUR,Rajasthan,Nov-21,4555.47,4200,2825.7,0.486357363,0.61215628
VAISHALI,Bihar,Nov-21,1136.62,5935,4715.9,0.25850845,0.758981319
WEST CHAMPARAN,Bihar,Nov-21,4142.27,9535,6101.2,0.562807317,0.321072904
AJMER,Rajasthan,Dec-21,5571.86,4500,5788.5,0.222596528,0.037425931
ALWAR,Rajasthan,Dec-21,6077.27,7300,7158.95,0.01970261,0.151094783
ARARIA,Bihar,Dec-21,2981.6,4240,2598.85,0.631490852,0.14727668
ARWAL,Bihar,Dec-21,453.56,1010,421,1.399049881,0.077339667
AURANGABAD,Bihar,Dec-21,3830.72,9430,4522,1.08536046,0.152870411
BANKA,Bihar,Dec-21,3083.35,5070,2305.6,1.198993754,0.337330847
BANSWARA,Rajasthan,Dec-21,1842.65,1800,1757.15,0.02438608,0.048658339
BARAN,Rajasthan,Dec-21,1361.3,1500,1559.5,0.038153254,0.127092017
BARMER,Rajasthan,Dec-21,2541.84,1500,1479.25,0.014027379,0.718330235
BEGUSARAI,Bihar,Dec-21,862.73,1385,1161.65,0.192269616,0.257323634
BHAGALPUR,Bihar,Dec-21,1256.14,4435,2226.6,0.991826103,0.435848379
BHARATPUR,Rajasthan,Dec-21,5532.75,6800,6275.1,0.083648069,0.118300904
BHILWARA,Rajasthan,Dec-21,5634.82,4900,4940.8,0.008257772,0.140467131
BHOJPUR,Bihar,Dec-21,1493.38,3110,1859.35,0.672627531,0.196826848
BIKANER,Rajasthan,Dec-21,3284.59,3700,3154.3,0.173001934,0.041305519
BUNDI,Rajasthan,Dec-21,1870.7,1800,2306,0.21942758,0.18876843
BUXAR,Bihar,Dec-21,18.74,3670,2879.3,0.274615358,0.993491474
CHITTORGARH,Rajasthan,Dec-21,1801.44,1700,1808.25,0.05986451,0.003766072
CHURU,Rajasthan,Dec-21,3362.15,4000,5493.35,0.271846869,0.387959988
DARBHANGA,Bihar,Dec-21,1966.98,6345,2770.7,1.290035009,0.29007832
DAUSA,Rajasthan,Dec-21,2041.58,3400,2449.85,0.387840072,0.166651019
DHOLPUR,Rajasthan,Dec-21,3201.07,3300,3138.5,0.051457703,0.019936275
DUNGARPUR,Rajasthan,Dec-21,1705.49,1800,1934.5,0.06952701,0.118382011
EAST CHAMPARAN,Bihar,Dec-21,7456.88,11975,8094.15,0.479463563,0.078732171
GAYA,Bihar,Dec-21,3710.34,9280,5328,0.741741742,0.303614865
GOPALGANJ,Bihar,Dec-21,4510.85,5455,6308.75,0.135327918,0.28498514
HANUMANGARH,Rajasthan,Dec-21,3834.95,3400,4946,0.312575819,0.22463607
JAIPUR,Rajasthan,Dec-21,16525.01,15900,19571.35,0.187587979,0.155653034
JAISALMER,Rajasthan,Dec-21,1214.92,1200,1630,0.263803681,0.254650307
JALORE,Rajasthan,Dec-21,1237.11,1600,1607,0.004355943,0.230174238
